============================================================
Bolsa de Arte — Coletor de Cotações
Início: 21/03/2026 19:46:14
============================================================
DB atual: 0 cotações
  Modo: varredura completa | Início: pág 1
  Pág   250 | +12 novos | Total novo: 3000
  Pág   251 | +12 novos | Total novo: 3012
  Pág   252 | +12 novos | Total novo: 3024
  Pág   253 | +12 novos | Total novo: 3036
  Pág   254 | +12 novos | Total novo: 3048
  Pág   255 | +12 novos | Total novo: 3060
  Pág   256 | +12 novos | Total novo: 3072
  Pág   257 | +12 novos | Total novo: 3084
  Pág   258 | +12 novos | Total novo: 3096
  Pág   259 | +12 novos | Total novo: 3108
  Pág   260 | +12 novos | Total novo: 3120
  Pág   261 | +12 novos | Total novo: 3132
  Pág   262 | +12 novos | Total novo: 3144
  Pág   263 | +12 novos | Total novo: 3156
  Pág   264 | +12 novos | Total novo: 3168
  Pág   265 | +12 novos | Total novo: 3180
  Pág   266 | +12 novos | Total novo: 3192
  Pág   267 | +12 novos | Total novo: 3204
  Pág   268 | +12 novos | Total novo: 3216
  Pág   269 | +12 novos | Total novo: 3228
  Pág   270 | +12 novos | Total novo: 3240
  Pág   271 | +12 novos | Total novo: 3252
  Pág   272 | +12 novos | Total novo: 3264
  Pág   273 | +12 novos | Total novo: 3276
  Pág   274 | +12 novos | Total novo: 3288
  Pág   275 | +12 novos | Total novo: 3300
  Pág   276 | +12 novos | Total novo: 3312
  Pág   277 | +12 novos | Total novo: 3324
  Pág   278 | +12 novos | Total novo: 3336
  Pág   279 | +12 novos | Total novo: 3348
  Pág   280 | +12 novos | Total novo: 3360
  Pág   281 | +12 novos | Total novo: 3372
  Pág   282 | +12 novos | Total novo: 3384
  Pág   283 | +12 novos | Total novo: 3396
  Pág   284 | +12 novos | Total novo: 3408
  Pág   285 | +12 novos | Total novo: 3420
  Pág   286 | +12 novos | Total novo: 3432
  Pág   287 | +12 novos | Total novo: 3444
  Pág   288 | +12 novos | Total novo: 3456
  Pág   289 | +12 novos | Total novo: 3468
  Pág   290 | +12 novos | Total novo: 3480
  Pág   291 | +12 novos | Total novo: 3492
  Pág   292 | +12 novos | Total novo: 3504
  Pág   293 | +12 novos | Total novo: 3516
  Pág   294 | +12 novos | Total novo: 3528
  Pág   295 | +12 novos | Total novo: 3540
  Pág   296 | +12 novos | Total novo: 3552
  Pág   297 | +12 novos | Total novo: 3564
  Pág   298 | +12 novos | Total novo: 3576
